size,threads,runtime,energy
10000,16,0.029583955,1.455014
10000,16,0.029391276,1.509517
10000,16,0.029405912,1.478878
10000,16,0.029406,1.509579
10000,16,0.029532764,1.483455
10000,16,0.029411064,1.510555
10000,16,0.02939125,1.481442
10000,16,0.029229363,1.587032
10000,16,0.029536208,1.521908
10000,16,0.029454429,1.504634
10000,8,0.058827017,1.828975
10000,8,0.058451734,1.842829
10000,8,0.059088353,1.828792
10000,8,0.058804374,1.843684
10000,8,0.058828317,1.819149
10000,8,0.058494706,1.881953
10000,8,0.059064813,1.828547
10000,8,0.05879981,1.875118
10000,8,0.058813635,1.823115
10000,8,0.05858076,1.841487
10000,12.8,0.03641895,1.656734
10000,12.8,0.03623016,1.653072
10000,12.8,0.036233746,1.628414
10000,12.8,0.036045227,1.639522
10000,12.8,0.03639668,1.661678
10000,12.8,0.036188487,1.640071
10000,12.8,0.036274698,1.661251
10000,12.8,0.03605266,1.645747
10000,12.8,0.036372226,1.66766
10000,12.8,0.03622117,1.646541
10000,15.68,0.029449124,1.5368
10000,15.68,0.02929243,1.563778
10000,15.68,0.029590394,1.501278
10000,15.68,0.029442037,1.537532
10000,15.68,0.029852152,1.549252
10000,15.68,0.029313965,1.503658
10000,15.68,0.029544884,1.473141
10000,15.68,0.029418048,1.491268
10000,15.68,0.029451976,1.55212
10000,15.68,0.029222794,1.516903
10000,16,0.02958029,1.515072
10000,16,0.029420689,1.550167
10000,16,0.029449943,1.539058
10000,16,0.029247751,1.530819
10000,16,0.029601032,1.534054
10000,16,0.029638655,1.56921
10000,16,0.029431358,1.501522
10000,16,0.029280463,1.511044
10000,16,0.029591568,1.552181
10000,16,0.02951243,1.581966
10000,14.9632,0.03160276,1.601619
10000,14.9632,0.031219324,1.584591
10000,14.9632,0.031546228,1.622127
10000,14.9632,0.031394016,1.642086
10000,14.9632,0.031399373,1.57574
10000,14.9632,0.03120078,1.59454
10000,14.9632,0.03157006,1.566829
10000,14.9632,0.03139821,1.592648
