size,threads,runtime,runtimesd,energy,energysd
500,1,0.06984547,0.00009767,1.17235041,0.09253724
500,8,0.01995492,0.00202842,0.56747937,0.05171576
500,12,0.01448840,0.00120758,0.51610684,0.04182674
500,16,0.01156638,0.00101417,0.49933198,0.04027028
1000,1,0.84757257,0.01374746,13.69196415,0.98299736
1000,8,0.64593399,0.00265088,16.51474571,0.28053367
1000,12,0.42252791,0.00220797,13.86846161,0.08769298
1000,16,0.33767378,0.00491491,13.33169460,0.17724682
1500,1,3.11447263,0.01832527,49.61718369,1.05603659
1500,8,4.40034914,0.03260955,109.16596985,2.41267014
1500,12,2.96012974,0.02378478,93.32547760,1.45013583
1500,16,2.23281121,0.01860277,84.77519226,0.55566835
500,mt,0.01284245,0.00200561,0.50116521,0.04242009
1000,mt,0.32103088,0.09036366,12.38976192,1.85206580
1500,mt,2.36527157,0.49393386,87.12464142,6.51382971
500,rt,0.01279703,0.00281927,0.50761938,0.04958811
1000,rt,0.38225791,0.09487332,13.89348602,1.14632893
1500,rt,2.54825568,0.64728427,89.14560699,7.74530125
