size,threads,runtime,runtimesd,energy,energysd
10000,8,0.05887478,0.00027570,1.81641781,0.01946947
10000,12,0.03924808,0.00017409,1.61072814,0.02780787
10000,16,0.02945835,0.00037868,1.51665056,0.02795350
25000,8,0.39232025,0.01378096,12.48362160,0.39724332
25000,12,0.26144692,0.00851379,11.09003067,0.31764755
25000,16,0.22314791,0.07206240,11.43381691,2.53481579
40000,8,1.07544065,0.06028262,34.05273819,1.69280851
40000,12,0.74755305,0.05265915,31.10676575,1.75586426
40000,16,0.68549287,0.07596847,34.18145370,2.99331760
10000,mt,0.03161947,0.00643405,1.56787610,0.07779828
25000,mt,0.23549953,0.04053405,11.06061172,0.69034034
40000,mt,0.84110886,0.43047991,33.78374863,5.58462143
10000,rt,0.03141746,0.00646028,1.54599655,0.07718553
25000,rt,0.24087352,0.05890957,11.30327129,1.75956428
40000,rt,0.79594910,0.44133398,33.01791382,5.96781492
