size,threads,runtime,runtimesd,energy,energysd
10000,8,0.15536241,0.00378446,4.24549961,0.10485550
10000,12,0.10383852,0.00261459,3.62522745,0.10224053
10000,14,0.08939017,0.00267368,3.58292294,0.21667929
10000,16,0.07990768,0.01165766,3.36934233,0.44146737
25000,8,1.03132570,0.02347286,28.70464325,1.68473148
25000,12,0.68876970,0.01643468,24.15817451,0.61902237
25000,14,0.59590524,0.02273833,23.35827065,1.02860761
25000,16,0.61292493,0.01647181,26.10716820,0.68601513
40000,8,2.48568273,0.06125251,70.29129791,2.00921988
40000,12,1.66417658,0.04319066,60.50747681,1.82292032
40000,14,1.77161932,0.01630262,69.58396149,1.53971624
40000,16,1.94027591,0.08793793,79.25356293,3.73852110
10000,mt,0.08401868,0.01737929,3.59633422,0.42024487
25000,mt,0.62027657,0.09553246,24.36909103,1.66012108
40000,mt,2.22380543,1.01476264,70.26731873,14.26278400
