threads,size,pin,runtime,runtimesd,energy,energysd
8,500,true,0.0918699,0.00017721954,2.5644627,0.05374705
12,500,true,0.050779074,0.00013312687,2.12205,0.017859833
16,500,true,0.047065355,0.000337879,2.0346677,0.030809943
mt,500,true,0.04979628,0.009963803,2.0843966,0.12531199
rt,500,true,0.052793685,0.01361733,2.141695,0.16872616
8,1000,true,0.81973815,0.011510832,22.785114,0.56490284
12,1000,true,0.42762494,0.0022643085,18.364538,0.16285963
16,1000,true,0.41869506,0.018418768,18.527693,0.7260727
mt,1000,true,0.43966794,0.08919683,18.826227,1.1903696
rt,1000,true,0.453955,0.12154881,18.944723,1.5116792
8,1500,true,4.7010226,0.03121633,122.53101,2.6147447
12,1500,true,1.889642,0.0450217,77.67664,0.9424039
16,1500,true,2.3512552,0.012405205,95.19349,0.4624734
mt,1500,true,2.0417678,0.57032734,82.55405,9.419235
rt,1500,true,2.265815,0.8428545,86.55117,14.109431
8,500,false,0.063143685,0.007708364,2.423571,0.095869176
12,500,false,0.051879697,0.0012010018,2.2713964,0.027832428
16,500,false,0.04751769,0.00029476223,2.1732452,0.02469241
mt,500,false,0.04825525,0.0039557684,2.174983,0.0695619
rt,500,false,0.04978989,0.0045800256,2.2199266,0.08242262
8,1000,false,0.4605587,0.01761095,19.685797,0.3735371
12,1000,false,0.4291792,0.007758887,19.136755,0.19323646
16,1000,false,0.41231334,0.0035218184,18.853865,0.19206609
mt,1000,false,0.41787708,0.011206407,18.99648,0.43415013
rt,1000,false,0.42213553,0.016977878,19.142254,0.54266626
8,1500,false,1.5706884,0.021153588,69.434364,0.613204
12,1500,false,1.8927356,0.034761168,79.55445,1.2596172
16,1500,false,2.3620515,0.014843867,95.79283,0.4180867
mt,1500,false,2.00192,0.75772494,78.80087,10.996788
rt,1500,false,2.0281713,0.55681103,77.62045,9.463875
