size,threads,runtime,runtimesd,energy,energysd
10000,8,0.15535122,0.00375245,4.27100563,0.11412055
10000,12,0.10382625,0.00261824,3.65774989,0.09939449
10000,14,0.08950105,0.00295179,3.46762276,0.13024956
10000,16,0.09540877,0.07891820,3.96751642,2.86783338
25000,8,1.03126216,0.02347110,28.30629349,0.76455092
25000,12,0.68875104,0.01640103,24.26328850,0.61917323
25000,14,0.59173107,0.01502752,23.04644203,0.61351287
25000,16,0.63380826,0.06727967,26.91843414,2.64498472
40000,8,2.48526621,0.06101787,70.54035187,2.39173508
40000,12,1.66465366,0.04348393,60.37360001,1.88176751
40000,14,1.77521074,0.02603151,69.40608215,1.64154804
40000,16,1.92681611,0.05752096,78.17186737,2.05986023
10000,mt,0.08449765,0.01727633,3.55448484,0.29762805
25000,mt,0.62021220,0.09525462,24.50094986,1.61894429
40000,mt,2.21244860,1.01652896,69.97653198,14.74851990
10000,rt,0.08359029,0.01693721,3.51364470,0.22828497
25000,rt,0.62260580,0.09623849,24.42834473,1.68903756
40000,rt,2.23413372,1.01379585,70.77671051,14.26458740
