pin,size,threads,runtime,runtimesd,energy,energysd
true,500,1,0.43463996,0.00132222,7.14463425,0.13004413
true,500,2,0.21778917,0.00012450,4.38146448,0.11009731
true,500,3,0.14983059,0.00595841,3.44360971,0.08033672
true,500,4,0.10983752,0.00057602,2.96823692,0.01547191
true,500,5,0.10625203,0.00196929,2.90197206,0.05899032
true,500,6,0.10150829,0.00242655,2.80991220,0.03387074
true,500,7,0.09625772,0.00029624,2.74636841,0.01357741
true,500,8,0.09215262,0.00033130,2.65555048,0.01146877
true,500,9,0.08006709,0.00369430,2.54292846,0.05374546
true,500,10,0.06816855,0.00328378,2.43082190,0.05451316
true,500,11,0.05828269,0.00373099,2.27365708,0.06362807
true,500,12,0.05113317,0.00033839,2.19372654,0.01610028
true,500,13,0.05029628,0.00019743,2.15731955,0.01267819
true,500,14,0.04932433,0.00069037,2.15583348,0.05533916
true,500,15,0.04794862,0.00015766,2.11102533,0.01727264
true,500,16,0.04765940,0.00025100,2.10557246,0.01639505
true,600,1,0.75797051,0.00034317,12.44729042,0.19152604
true,600,2,0.37981534,0.00022824,7.67601395,0.29950216
true,600,3,0.26110426,0.01001584,6.13655043,0.12822980
true,600,4,0.19117807,0.00138407,5.21974230,0.07896238
true,600,5,0.18446964,0.00287163,5.10363150,0.03748833
true,600,6,0.17558201,0.00312180,4.88213778,0.04279823
true,600,7,0.16810095,0.00049410,4.80567026,0.05031610
true,600,8,0.16451424,0.00209305,4.70999050,0.08846250
true,600,9,0.13886903,0.00596016,4.43668985,0.08610057
true,600,10,0.12016232,0.00982280,4.21914101,0.13078254
true,600,11,0.10196746,0.00788900,3.99878407,0.11051323
true,600,12,0.09002278,0.00190510,3.87234616,0.04851922
true,600,13,0.08768971,0.00217180,3.82317257,0.03599910
true,600,14,0.08724035,0.00199684,3.93825006,0.19634128
true,600,15,0.08410052,0.00020211,3.72585845,0.01157087
true,600,16,0.08271632,0.00066164,3.67173362,0.03176698
true,700,1,1.20394671,0.00158362,19.65195084,0.55083424
true,700,2,0.60319084,0.00167889,12.34034920,0.87497979
true,700,3,0.41242492,0.01380723,9.67780972,0.17521049
true,700,4,0.30293578,0.00070526,8.18592167,0.02800474
true,700,5,0.29446232,0.00490597,8.07884312,0.12153669
true,700,6,0.27989817,0.00592913,7.73493767,0.08099031
true,700,7,0.26636001,0.00145761,7.55460548,0.04204528
