size,threads,runtime,energy
10000,16,0.09917158,4.344776
10000,16,0.077984974,3.375175
10000,16,0.07796107,3.400321
10000,16,0.07799497,3.395621
10000,16,0.07793024,3.3767
10000,16,0.077911854,3.404288
10000,16,0.07793002,3.377982
10000,16,0.07808239,3.405876
10000,16,0.07841751,3.399222
10000,16,0.07798361,3.379386
10000,8,0.1549887,4.334828
10000,8,0.15500379,4.338367
10000,8,0.1549631,4.345143
10000,8,0.15499282,4.363942
10000,8,0.15493603,4.356739
10000,8,0.15500906,4.372608
10000,8,0.15492687,4.343556
10000,8,0.15496968,4.392018
10000,8,0.15495408,4.328541
10000,8,0.15501331,4.380116
10000,12.8,0.09561556,3.70696
10000,12.8,0.09571826,3.728445
10000,12.8,0.09564037,3.751212
10000,12.8,0.09565329,3.727712
10000,12.8,0.09557918,3.699209
10000,12.8,0.09565586,3.751089
10000,12.8,0.09560453,3.69036
10000,12.8,0.095621645,3.745596
10000,12.8,0.09567752,3.710379
10000,12.8,0.095655665,3.73107
10000,15.68,0.077999026,3.399527
10000,15.68,0.077915035,3.398795
10000,15.68,0.07792805,3.389701
10000,15.68,0.07804027,3.380912
10000,15.68,0.07794856,3.391409
10000,15.68,0.07802532,3.405998
10000,15.68,0.0781175,3.379508
10000,15.68,0.077988274,3.399527
10000,15.68,0.07794919,3.430533
10000,15.68,0.078450106,3.39434
10000,16,0.07940412,3.464651
10000,16,0.07881559,3.393302
10000,16,0.07838933,3.446891
10000,16,0.07802397,3.38848
10000,16,0.07805373,3.391532
10000,16,0.07801409,3.39556
10000,16,0.078214675,3.386649
10000,16,0.07858129,3.396171
10000,16,0.07793982,3.385062
10000,16,0.07796288,3.429801
10000,16,0.07800016,3.365347
10000,16,0.077960946,3.425285
10000,16,0.07818757,3.40679
10000,16,0.07796006,3.388846
10000,16,0.078006685,3.384513
10000,16,0.07795362,3.413505
10000,16,0.077937186,3.394339
10000,16,0.077916875,3.379813
10000,16,0.078014754,3.407828
10000,16,0.07806577,3.393546
10000,16,0.07820225,3.424247
10000,16,0.078080215,3.411612
10000,16,0.07794275,3.388847
10000,16,0.07802909,3.40026
10000,16,0.07826283,3.375968
10000,16,0.07799641,3.407584
10000,16,0.07795843,3.395682
10000,16,0.078164645,3.382498
10000,16,0.077975325,3.438407
10000,16,0.07841803,3.413261
10000,15.5774145,0.078413226,3.431448
10000,15.5774145,0.07801973,3.397636
10000,15.5774145,0.077982,3.381644
10000,15.5774145,0.08509967,3.662283
10000,15.5774145,0.080939986,3.505057
10000,15.5774145,0.08302786,3.592703
10000,15.5774145,0.090719745,3.854116
10000,15.5774145,0.07803778,3.397208
10000,15.5774145,0.078593045,3.44921
10000,15.5774145,0.077984475,3.391715
10000,15.909483,0.07792248,3.383536
10000,15.909483,0.07823014,3.40966
10000,15.909483,0.077961184,3.394827
10000,15.909483,0.0779468,3.401908
10000,15.909483,0.078620344,3.437491
10000,15.909483,0.07866352,3.435172
10000,15.909483,0.078009576,3.396415
10000,15.909483,0.07806614,3.395926
10000,15.909483,0.07825909,3.391532
10000,15.909483,0.078017846,3.42919
10000,16,0.07795984,3.364128
10000,16,0.07798004,3.38555
10000,16,0.07796999,3.441642
10000,16,0.07814127,3.399344
10000,16,0.077928975,3.412223
10000,16,0.077972434,3.389273
10000,16,0.0779283,3.3991
10000,16,0.078050695,3.381034
10000,16,0.109850675,4.610218
10000,16,0.11014974,4.596057
10000,15.751599,0.078439385,3.397636
10000,15.751599,0.07797572,3.399405
10000,15.751599,0.07793695,3.408194
10000,15.751599,0.085879326,3.718619
10000,15.751599,0.08812412,3.771108
10000,15.751599,0.07811791,3.402763
10000,15.751599,0.078416996,3.426566
10000,15.751599,0.07799196,3.395193
10000,15.751599,0.07791228,3.410087
10000,15.751599,0.078112975,3.388724
10000,15.977747,0.07841654,3.398368
10000,15.977747,0.078138195,3.451651
10000,15.977747,0.07795022,3.381767
10000,15.977747,0.07799256,3.411978
10000,15.977747,0.07800543,3.403922
10000,15.977747,0.07795427,3.383353
10000,15.977747,0.08115833,3.520621
10000,15.977747,0.078198664,3.438346
10000,15.977747,0.09169581,3.880117
10000,15.977747,0.11678248,4.905078
10000,15.767601,0.093742736,3.978505
10000,15.767601,0.08095637,3.521719
10000,15.767601,0.08544308,3.715018
10000,15.767601,0.8122141,29.969831
10000,15.767601,0.28222504,10.816256
10000,15.767601,0.19628184,7.813274
10000,15.767601,0.3064761,11.696198
10000,15.767601,0.14604035,5.99443
10000,15.767601,0.09632883,4.129811
10000,15.767601,0.08117269,3.524283
10000,15.965824,0.08156682,3.581412
10000,15.965824,0.08203582,3.581839
10000,15.965824,0.082493566,3.598746
10000,15.965824,0.08317332,3.601614
10000,15.965824,0.09280445,3.998769
10000,15.965824,0.08872112,3.844961
10000,15.965824,0.08604116,3.720816
10000,15.965824,0.08893016,3.805898
10000,15.965824,0.08094781,3.540396
10000,15.965824,0.0820223,3.568473
10000,16,0.08202053,3.573782
10000,16,0.085204825,3.678885
10000,16,0.08446171,3.66094
10000,16,0.07807098,3.393119
10000,16,0.16897605,6.731978
10000,16,0.08241141,3.622122
10000,16,0.08234722,3.578726
10000,16,0.08384839,3.640799
10000,16,0.08113605,3.543203
10000,16,0.08244813,3.63317
10000,15.818012,0.0831377,3.607107
10000,15.818012,0.08155302,3.571952
10000,15.818012,0.08183632,3.588552
10000,15.818012,0.08190033,3.553824
10000,15.818012,0.07795523,3.413261
10000,15.818012,0.08250192,3.614248
10000,15.818012,0.081554025,3.535819
10000,15.818012,0.07837004,3.406974
10000,15.818012,0.07801103,3.412283
10000,15.818012,0.09954722,4.238393
10000,15.641665,0.08378471,3.621695
10000,15.641665,0.0824536,3.619314
10000,15.641665,0.08053557,3.525138
10000,15.641665,0.08174701,3.567557
10000,15.641665,0.0780392,3.353812
10000,15.641665,0.07842912,3.465628
10000,15.641665,0.07801492,3.384574
10000,15.641665,0.07825454,3.443961
10000,15.641665,0.07795025,3.353995
10000,15.641665,0.07795094,3.447074
10000,15.469846,0.08297008,3.581473
10000,15.469846,0.08346658,3.575247
10000,15.469846,0.082946114,3.568228
10000,15.469846,0.08329051,3.611502
10000,15.469846,0.083217405,3.571829
10000,15.469846,0.08323461,3.586783
10000,15.469846,0.08305476,3.558402
10000,15.469846,0.082971945,3.575735
10000,15.469846,0.08297467,3.616507
10000,15.469846,0.082991324,3.545096
10000,15.637997,0.07794434,3.396476
10000,15.637997,0.07796434,3.410758
10000,15.637997,0.077867,3.402152
10000,15.637997,0.07808779,3.402884
10000,15.637997,0.07791583,3.392875
10000,15.637997,0.077998206,3.402152
10000,15.637997,0.07791934,3.408622
10000,15.637997,0.077934936,3.41326
10000,15.637997,0.07794846,3.387503
10000,15.637997,0.07849364,3.414115
10000,15.80315,0.0780678,3.408072
10000,15.80315,0.077931784,3.404655
10000,15.80315,0.0778453,3.388052
10000,15.80315,0.0779524,3.41851
10000,15.80315,0.07786,3.404715
10000,15.80315,0.07822135,3.405326
10000,15.80315,0.07788442,3.39849
10000,15.80315,0.077938505,3.408377
10000,15.80315,0.07810398,3.392936
10000,15.80315,0.07795002,3.408805
25000,16,0.64919823,28.2766
25000,16,0.61561453,26.269342
25000,16,0.618796,26.408195
25000,16,0.6150833,26.282831
25000,16,0.61718017,26.334284
25000,16,0.6154132,26.338432
25000,16,0.6172032,26.34466
25000,16,0.6154902,26.322992
25000,16,0.61593866,26.341425
25000,16,0.61318153,26.250666
25000,8,1.0286195,28.601
25000,8,1.0285065,28.48888
25000,8,1.0286071,28.518726
25000,8,1.0285232,28.52672
25000,8,1.0287336,28.830492
25000,8,1.0285316,28.525806
25000,8,1.0286732,28.538744
25000,8,1.0285407,28.51659
25000,8,1.0286773,28.507921
25000,8,1.0285373,28.513294
25000,12.8,0.6342879,24.67932
25000,12.8,0.634162,24.633907
25000,12.8,0.63429266,24.680355
25000,12.8,0.63424194,24.70178
25000,12.8,0.6343502,24.980648
25000,12.8,0.63427883,24.676697
25000,12.8,0.63427174,24.706968
25000,12.8,0.6343726,26.089348
25000,12.8,0.6346813,27.324272
25000,12.8,0.6343921,27.269585
25000,15.68,0.99096024,40.922993
25000,15.68,0.8546128,35.90091
25000,15.68,1.0935363,44.342842
25000,15.68,0.6137954,26.27282
25000,15.68,0.61751604,26.354792
25000,15.68,0.61530703,26.346977
25000,15.68,0.6159937,26.364374
25000,15.68,0.68718415,29.16533
