size,threads,runtime,runtimesd,energy,energysd
10000,1,0.23342608,0.00158169,3.86627531,0.11409800
10000,2,0.23594883,0.00137755,3.91109395,0.08375458
10000,3,0.15675573,0.00073393,3.15920949,0.03790757
10000,4,0.11760555,0.00057500,2.49860430,0.02200722
10000,5,0.09408550,0.00050526,2.36722732,0.10696598
10000,6,0.07839809,0.00034815,2.03628778,0.03720644
10000,7,0.06719833,0.00027794,1.99770498,0.01856537
10000,8,0.05875102,0.00024552,1.81066167,0.02342114
10000,9,0.05224235,0.00022783,1.81859708,0.02032553
10000,10,0.04708614,0.00022982,1.70182741,0.02213052
10000,11,0.04276264,0.00025699,1.72186589,0.04014004
10000,12,0.03922094,0.00020186,1.61664355,0.02498989
10000,13,0.03618004,0.00013529,1.64151073,0.02424412
10000,14,0.03376721,0.00207752,1.55336058,0.02929168
10000,15,0.03134399,0.00015059,1.58807421,0.02717823
10000,16,0.02944705,0.00036697,1.51539838,0.03029973
25000,1,1.61222458,0.02901533,26.95727730,0.91619486
25000,2,1.49521244,0.00922915,25.54030991,0.46511054
25000,3,0.98912430,0.00678017,20.70929909,0.38035125
25000,4,0.74382269,0.00335958,16.38146973,0.46659017
25000,5,0.60052556,0.01382847,15.46428967,0.44223565
25000,6,0.51842129,0.02403711,13.79218960,0.52323502
25000,7,0.44856265,0.02127950,13.80697250,0.56929559
25000,8,0.39796475,0.01821926,12.63424110,0.49790484
25000,9,0.34420195,0.01089423,12.49956989,0.40325403
25000,10,0.31640303,0.01152608,11.72101593,0.35524473
25000,11,0.28811139,0.00908772,11.93068695,0.34501526
25000,12,0.26723638,0.01066528,11.36521721,0.36798307
25000,13,0.24373558,0.01016919,11.42834759,0.38816079
25000,14,0.23150970,0.01330087,11.12172508,0.51082247
25000,15,0.21352661,0.01086677,11.18136120,0.44778907
25000,16,0.21638542,0.01724477,11.42389870,0.68159324
40000,1,4.31158161,0.14461750,71.99864960,2.91013694
40000,2,3.99617839,0.02250735,68.54357910,1.07926893
40000,3,2.65402746,0.01097468,55.60319519,0.94306898
40000,4,1.98474121,0.00741382,43.66215515,0.70506692
40000,5,1.60104930,0.03642704,41.32014465,1.24599588
40000,6,1.39166856,0.10941283,37.06461716,2.45325184
40000,7,1.23844922,0.08480985,37.88219070,2.26512480
40000,8,1.11443472,0.07530086,35.21633530,2.11476445
40000,9,0.97859216,0.07453164,34.84323883,2.22257042
40000,10,0.88954371,0.05513369,32.51271820,1.73576474
40000,11,0.83631712,0.06221154,34.08398819,2.11033964
40000,12,0.75278115,0.05587283,31.67216301,1.86864150
40000,13,0.69913322,0.05893301,32.29985046,2.23564816
40000,14,0.67730308,0.07065949,31.87714386,2.92556667
40000,15,0.63201702,0.06857254,32.34919739,2.79986310
40000,16,0.65896940,0.06489508,33.53658295,2.58988023
