size,threads,runtime,runtimesd,energy,energysd
10000,1,0.56986743,0.01530527,9.07625580,0.44181809
10000,2,0.61867142,0.01016096,9.87347031,0.26777136
10000,3,0.41255492,0.00666938,8.00086212,0.19858094
10000,4,0.30964559,0.00513068,6.16856623,0.18090166
10000,5,0.24787030,0.00416210,5.85298538,0.22159958
10000,6,0.20674850,0.00353044,4.94681263,0.08858684
10000,7,0.17723528,0.00301410,4.83803606,0.10159249
10000,8,0.15517157,0.00268741,4.34094858,0.14099923
10000,9,0.13803987,0.00239160,4.30292130,0.08118553
10000,10,0.12425007,0.00219123,3.94553304,0.07749512
10000,11,0.11306513,0.00201387,3.99740505,0.09738535
10000,12,0.10370903,0.00185892,3.70920587,0.07312364
10000,13,0.09575185,0.00172034,3.73013067,0.07145365
10000,14,0.08912696,0.00206276,3.55346060,0.11366785
10000,15,0.08321027,0.00178149,3.58066440,0.09345866
10000,16,0.07960809,0.00717526,3.47575450,0.27717930
25000,1,3.76724386,0.09655447,59.52188873,1.99052548
25000,2,4.10680676,0.05968011,65.17504120,1.55700219
25000,3,2.73915887,0.04051155,51.82706070,1.49395239
25000,4,2.05563331,0.03210149,39.78277969,1.01632357
25000,5,1.64550662,0.02535421,38.41346741,1.10554385
25000,6,1.37264895,0.02153840,32.55210876,0.77877086
25000,7,1.17664957,0.01876350,32.06376648,0.71112728
25000,8,1.03016829,0.01671273,28.54014206,0.70756644
25000,9,0.91575712,0.01488575,28.87113762,1.17735445
25000,10,0.82470351,0.01354849,26.12858582,0.65804160
25000,11,0.74982989,0.01256135,26.37086868,0.51905942
25000,12,0.68805122,0.01167238,24.60059166,0.67498547
25000,13,0.63520938,0.01091426,24.62907791,0.48526776
25000,14,0.59109843,0.01124471,23.17842102,0.48841479
25000,15,0.58547378,0.02265405,25.26908112,1.14821863
25000,16,0.62509346,0.06803960,26.86978722,2.59705663
40000,1,9.11700153,0.24590795,144.02461243,4.46903658
40000,2,9.89635181,0.16180339,157.25633240,3.49974728
40000,3,6.60112381,0.10773444,126.70978546,2.48319602
40000,4,4.95560694,0.08230391,97.74269867,2.23941302
40000,5,3.96565390,0.06708557,93.52663422,1.82468510
40000,6,3.30800271,0.05627285,80.08915710,2.32556748
40000,7,2.83539486,0.04870540,78.65451050,1.63406754
40000,8,2.48246717,0.04292456,70.20269775,1.57708788
40000,9,2.20704603,0.03898281,70.33364868,1.68233871
40000,10,1.98781765,0.03585907,64.41563416,1.39535582
40000,11,1.80795836,0.03308139,65.15621948,1.51905966
40000,12,1.66165698,0.03091705,60.76996613,1.44370401
40000,13,1.66383684,0.02157186,65.74961853,1.32367861
40000,14,1.79039145,0.04769435,71.05101013,3.20495296
40000,15,1.79378843,0.02225235,74.84967041,1.13838100
40000,16,1.94646442,0.10510384,79.63700104,4.30875683
