size,threads,runtime,runtimesd,energy,energysd
500,1,0.06985393,0.00021304,1.08987319,0.04753325
500,2,0.07436777,0.01140395,1.16339731,0.18005271
500,3,0.04877017,0.00581567,0.92109102,0.11332309
500,4,0.03603142,0.00303898,0.70175016,0.05549903
500,5,0.02989155,0.00267441,0.68928802,0.06031763
500,6,0.02569042,0.00247674,0.60182559,0.05418475
500,7,0.02207565,0.00197536,0.59648198,0.05559010
500,8,0.01926113,0.00123730,0.52674633,0.03274045
500,9,0.01741768,0.00121901,0.53563368,0.03471260
500,10,0.01615192,0.00113402,0.50067705,0.03418891
500,11,0.01538546,0.00158270,0.53436255,0.05862584
500,12,0.01426227,0.00120635,0.49553615,0.03784306
500,13,0.01343355,0.00105382,0.51018471,0.04074495
500,14,0.01294123,0.00129259,0.50206727,0.05402625
500,15,0.01224726,0.00097192,0.50822473,0.03911745
500,16,0.01141104,0.00093557,0.47764692,0.03762819
1000,1,0.83834022,0.00481403,13.18105316,0.32046223
1000,2,2.04581690,0.15178476,30.90328407,2.47688103
1000,3,1.34460557,0.08792402,24.84161949,2.39448595
1000,4,1.13193715,0.17702445,20.89229584,3.17503858
1000,5,0.77151334,0.02781310,17.15319252,0.74348879
1000,6,0.79835308,0.07621167,17.62106705,1.63277626
1000,7,0.62879932,0.05545444,16.05010605,1.30670595
1000,8,0.56534010,0.07686581,14.57740498,1.87220764
1000,9,0.50942725,0.05949680,15.04290295,1.73470306
1000,10,0.45544171,0.03956133,13.43766785,1.08796191
1000,11,0.47677469,0.01174741,15.62102509,0.37309220
1000,12,0.37210947,0.02178831,12.44326878,0.72064018
1000,13,0.36197239,0.04527556,13.35526371,1.57240283
1000,14,0.35706422,0.00280699,13.25915337,0.20822515
1000,15,0.29602602,0.03008527,12.07878971,1.08571517
1000,16,0.31848124,0.00294609,12.93565750,0.11386381
1500,1,3.10408235,0.02474383,49.36757660,1.62957108
1500,2,17.37053299,0.16767848,261.28210449,4.16906548
1500,3,11.70947552,0.08137088,208.14701843,2.57897377
1500,4,8.78386116,0.08638611,157.39381409,3.18184400
1500,5,6.95427418,0.09369370,146.71385193,2.35839176
1500,6,5.86170816,0.02982096,125.16703033,1.69049835
1500,7,5.02224541,0.02929423,124.14002228,1.63515306
1500,8,4.36662054,0.02829448,108.83021545,2.05391908
1500,9,3.91840601,0.01848780,110.51360321,0.86249340
1500,10,3.52430820,0.02421034,99.43759155,1.42016363
1500,11,3.19432902,0.02137114,100.95149231,1.28144979
1500,12,2.93275809,0.01125643,92.96181488,1.12023973
1500,13,2.69149899,0.01037158,95.30892944,0.77871662
1500,14,2.48858762,0.03137793,87.87360382,1.91477549
1500,15,2.32650685,0.03701222,88.97188568,1.25483084
1500,16,2.21800089,0.03957663,84.92539978,1.06685364
